"Timestamp","Total score","I consent to participate in this study.","I consent to participate in this study. [Score]","I consent to participate in this study. [Feedback]","1- The ontology captures the essential concepts and relationships required to document mapping projects across the lifecycle.","1- The ontology captures the essential concepts and relationships required to document mapping projects across the lifecycle. [Score]","1- The ontology captures the essential concepts and relationships required to document mapping projects across the lifecycle. [Feedback]","2- The overall structure of the ontology is coherent and easy to understand.","2- The overall structure of the ontology is coherent and easy to understand. [Score]","2- The overall structure of the ontology is coherent and easy to understand. [Feedback]","3- The ontology classes and properties are clearly defined and non-ambiguous.","3- The ontology classes and properties are clearly defined and non-ambiguous. [Score]","3- The ontology classes and properties are clearly defined and non-ambiguous. [Feedback]","4-  The ontology follows recognised ontology design principles (e.g., clarity, coherence, reuse).","4-  The ontology follows recognised ontology design principles (e.g., clarity, coherence, reuse). [Score]","4-  The ontology follows recognised ontology design principles (e.g., clarity, coherence, reuse). [Feedback]","5- The ontology appropriately reuses existing and well-established vocabularies.","5- The ontology appropriately reuses existing and well-established vocabularies. [Score]","5- The ontology appropriately reuses existing and well-established vocabularies. [Feedback]","6- The ontology would support informed and confident decisions about mapping reuse.","6- The ontology would support informed and confident decisions about mapping reuse. [Score]","6- The ontology would support informed and confident decisions about mapping reuse. [Feedback]","7- Do you suggest any modifications to the concepts, properties or modelling decisions ? Please justify.","7- Do you suggest any modifications to the concepts, properties or modelling decisions ? Please justify. [Score]","7- Do you suggest any modifications to the concepts, properties or modelling decisions ? Please justify. [Feedback]","8- Do you suggest improvements to the documentation (examples, explanations, constraints)? Please justify your response.","8- Do you suggest improvements to the documentation (examples, explanations, constraints)? Please justify your response. [Score]","8- Do you suggest improvements to the documentation (examples, explanations, constraints)? Please justify your response. [Feedback]","1- Do you think the purpose of a mapping artefact should be explicitly captured using a controlled vocabulary?","1- Do you think the purpose of a mapping artefact should be explicitly captured using a controlled vocabulary? [Score]","1- Do you think the purpose of a mapping artefact should be explicitly captured using a controlled vocabulary? [Feedback]","2- Which of the following purpose categories do you consider useful for describing mapping artefacts (Select all that apply)","2- Which of the following purpose categories do you consider useful for describing mapping artefacts (Select all that apply) [Score]","2- Which of the following purpose categories do you consider useful for describing mapping artefacts (Select all that apply) [Feedback]","3- Rank the importance of the following purpose categories (1 = Most Important, 5 = Least Important) [Project Goal]","3- Rank the importance of the following purpose categories (1 = Most Important, 5 = Least Important) [Project Goal] [Score]","3- Rank the importance of the following purpose categories (1 = Most Important, 5 = Least Important) [Application Context or Domain]","3- Rank the importance of the following purpose categories (1 = Most Important, 5 = Least Important) [Application Context or Domain] [Score]","3- Rank the importance of the following purpose categories (1 = Most Important, 5 = Least Important) [Intended Use]","3- Rank the importance of the following purpose categories (1 = Most Important, 5 = Least Important) [Intended Use] [Score]","3- Rank the importance of the following purpose categories (1 = Most Important, 5 = Least Important) [Target Audience]","3- Rank the importance of the following purpose categories (1 = Most Important, 5 = Least Important) [Target Audience] [Score]","3- Rank the importance of the following purpose categories (1 = Most Important, 5 = Least Important) [Reuse Expectations]","3- Rank the importance of the following purpose categories (1 = Most Important, 5 = Least Important) [Reuse Expectations] [Score]","4- Do you have suggestions for additional purpose categories, or comments on how purpose metadata could support reuse and interpretation of mappings?","4- Do you have suggestions for additional purpose categories, or comments on how purpose metadata could support reuse and interpretation of mappings? [Score]","4- Do you have suggestions for additional purpose categories, or comments on how purpose metadata could support reuse and interpretation of mappings? [Feedback]","5- Do you think a controlled vocabulary for describing the purpose of an artefact should be applicable beyond mapping projects, to Semantic Web projects in general (e.g., datasets, ontologies, workflows)?","5- Do you think a controlled vocabulary for describing the purpose of an artefact should be applicable beyond mapping projects, to Semantic Web projects in general (e.g., datasets, ontologies, workflows)? [Score]","5- Do you think a controlled vocabulary for describing the purpose of an artefact should be applicable beyond mapping projects, to Semantic Web projects in general (e.g., datasets, ontologies, workflows)? [Feedback]","6- if yes, please describe how a general purpose-oriented vocabulary could be used in practice (e.g., to support reuse, interpretation, governance, or decision-making).","6- if yes, please describe how a general purpose-oriented vocabulary could be used in practice (e.g., to support reuse, interpretation, governance, or decision-making). [Score]","6- if yes, please describe how a general purpose-oriented vocabulary could be used in practice (e.g., to support reuse, interpretation, governance, or decision-making). [Feedback]"
"2026/02/18 1:30:21 PM GMT+1","0.00 / 0","Yes","-- / 0","","2","-- / 0","","3","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","2","-- / 0","","N/A","-- / 0","","N/A","-- / 0","","Neutral / unsure","-- / 0","","1- Project Goal (e.g., data integration, enrichment);2- Application Context or Domain (e.g., research, operational system, decision support);5- Reuse Expectations (e.g., exploratory reuse, production reuse, one-off use)","-- / 0","","2","-- / 0","3","-- / 0","4","-- / 0","5","-- / 0","1","-- / 0","","-- / 0","","Yes, strongly agree","-- / 0","","Purpose Alignement (understand the artifact purpose and domain of knowledge), Catalogue","-- / 0",""
"2026/02/18 1:58:58 PM GMT+1","0.00 / 0","Yes","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","no","-- / 0","","I was wondering how it could connect to the actual SHACL statements that are executed for validation and testing and maybe even the SHACL validation report as a result of a validation process.","-- / 0","","Yes, agree","-- / 0","","1- Project Goal (e.g., data integration, enrichment);2- Application Context or Domain (e.g., research, operational system, decision support);3- Intended Use (e.g., analysis, publication, data exchange);4- Target Audience (e.g., domain experts, developers, public users);5- Reuse Expectations (e.g., exploratory reuse, production reuse, one-off use)","-- / 0","","","","","","","","","","","","I think the controlled vocabulary could be useful for reuse and for bootstrapping developers/ontologists getting started with this model but eventually organisations might want to define their own controlled vocabulary / taxonomy, with their own specific terms, so there should be support and flexibility to do that.","-- / 0","","Neutral / unsure","-- / 0","","","-- / 0",""
"2026/02/19 7:41:47 PM GMT+1","0.00 / 0","Yes","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","","","","5","-- / 0","","5","-- / 0","","","-- / 0","","","-- / 0","","Yes, strongly agree","-- / 0","","1- Project Goal (e.g., data integration, enrichment);2- Application Context or Domain (e.g., research, operational system, decision support);3- Intended Use (e.g., analysis, publication, data exchange);4- Target Audience (e.g., domain experts, developers, public users);5- Reuse Expectations (e.g., exploratory reuse, production reuse, one-off use)","-- / 0","","5","-- / 0","3","-- / 0","4","-- / 0","1","-- / 0","2","-- / 0","","-- / 0","","Yes, strongly agree","-- / 0","","","-- / 0",""
"2026/02/23 5:58:54 PM GMT+1","0.00 / 0","Yes","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","","-- / 0","","Perhaps some examples in the documentation itself, similar to the PROV ontology.","-- / 0","","Yes, agree","-- / 0","","1- Project Goal (e.g., data integration, enrichment);2- Application Context or Domain (e.g., research, operational system, decision support);3- Intended Use (e.g., analysis, publication, data exchange);4- Target Audience (e.g., domain experts, developers, public users);5- Reuse Expectations (e.g., exploratory reuse, production reuse, one-off use)","-- / 0","","5","-- / 0","1","-- / 0","2","-- / 0","3","-- / 0","4","-- / 0","Perhaps links to in-use projects.","-- / 0","","Yes, agree","-- / 0","","Explicitly modelling purpose improves discovery and reuse by enabling users to identify resources aligned with specific use-cases. It also supports clearer interpretation of design intent, reduces misapplication, and strengthens governance by informing lifecycle management, sustainability planning, and strategic decision-making.","-- / 0",""
"2026/02/24 8:41:45 AM GMT+1","0.00 / 0","Yes","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","2","-- / 0","","1","-- / 0","","1","-- / 0","","Overall, I think the ontology provides a strong and well structured model for representing Mapping Lifecycle Metadata. It covers the essential concepts and properties needed to model mappings across different stages of the lifecycle. The reuse of well-known ontologies strengthens the design by improving interoperability and alignment with existing standards.

However, I noticed that there are a lot of properties with ranges of type string. While I understand that this may be necessary in certain situations, I would recommend reviewing them to ensure that the range is suitable for the property usage. For instance,  the hasInputCreator property could have an object range, providing the ability to attach metadata to the creator (affiliation, email) and facilitate deduplication across systems (two people with the same name)","-- / 0","","The documentation includes clear examples and diagrams that show how the ontology can be applied in real-world scenarios and illustrate how key classes and properties are instantiated in practice and help users understand the models structure. 

Adding SHACL shape examples to validate the model usage would further strengthen the documentation by enabling validation of correct implementation. ","-- / 0","","Disagree","-- / 0","","1- Project Goal (e.g., data integration, enrichment);2- Application Context or Domain (e.g., research, operational system, decision support);3- Intended Use (e.g., analysis, publication, data exchange);4- Target Audience (e.g., domain experts, developers, public users);5- Reuse Expectations (e.g., exploratory reuse, production reuse, one-off use)","-- / 0","","1","-- / 0","3","-- / 0","2","-- / 0","4","-- / 0","5","-- / 0","Overall, I think these categories provide a comprehensive list of purposes. Purpose metadata can help users determine whether a mapping is appropriate to reuse for their specific use case. ","-- / 0","","Disagree","-- / 0","","Using a controlled vocabulary to represent the purpose of a mapping artefact may reduce flexibility, make it more difficult to capture new purposes and require ongoing maintenance to remain relevant.","-- / 0",""
"2026/02/24 11:50:36 AM GMT+1","0.00 / 0","Yes","-- / 0","","3","-- / 0","","2","-- / 0","","1","-- / 0","","3","-- / 0","","1","-- / 0","","2","-- / 0","","I would avoid using string for the hasConcept properties (e.g. hasPurpose). It is really important to have a concept for ""Purpose"", ""Domain"", etc. and then use strings for as their values if there are no vocabularies/taxonomies to populate them from.
 The definition of hasStakeholder is missing.
 I would suggest getting a permanent URL for the ontology from w3id and also submit it to LOV for better accessibility and discoverability. ","-- / 0","","In section 5, providing a human-readable description of the example might be helpful. I also think it is very useful to include the competency questions from the paper in the html documentation. ","-- / 0","","Yes, strongly agree","-- / 0","","1- Project Goal (e.g., data integration, enrichment);2- Application Context or Domain (e.g., research, operational system, decision support);3- Intended Use (e.g., analysis, publication, data exchange);4- Target Audience (e.g., domain experts, developers, public users);5- Reuse Expectations (e.g., exploratory reuse, production reuse, one-off use)","-- / 0","","1","-- / 0","3","-- / 0","2","-- / 0","4","-- / 0","5","-- / 0","","-- / 0","","Yes, agree","-- / 0","","Using a general-purpose, high-level vocabulary would bring the common language and interoperability required across different stages of Semantic Web-based projects. However, if the types of purposes are too different or conflicting to be included in one vocabulary, I would prefer a modular approach wherein there are multiple vocabularies/taxonomies of purposes but all are specialisation of  the main ontology (e.g. extending the Purpose concept). ","-- / 0",""
